OW_events;label
[11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8];0
[16 18 16 18 16 18 11  8 11  8 11  8];0
[11  8 11  8 11  8 11  8 11  8 11  8 16];0
[16 18];0
[28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30];0
"[51 49 51 15 49 13 15 51  4 49  6 51 13 49 51 49 15 13 15 13 15 51 49  4
 51 49 51 49 51 49  6 51 13 49 15 51 49 13 51 49 15 13 15 13 51 15 49 13
 15 51 13 49 15  4  6 13 15  4  6  4  6 13 15 13 15 13 15 13 15 13 15 13
 15 13 15 13 15 13 15 13 15 13 15 13 11  8]";1
[11  8];0
"[ 8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11
  8 11  8 11  8]";0
[11  8 11  8 28 30 28 30];0
[16 18];0
"[ 4 15  6 13  4 15 13  6  4 15  6 13 15  4  6 13 15 13 15 13 15 13 15  4
  6 13  4  6 15  4  6 13 15 13 15 13 15 13  4 15  6 13 15 13 15 13 15 13
 15 13 15  4  6  4  6 13 15 13 15  4  6  4  6 13 15  4  6  4  6 13 15 13
 15 13 15 13 15 13]";1
[11  8 11  8 11  8 11  8 11  8];0
[11  8 11  8 11  8 11  8 11  8 11  8 16];0
"[ 8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  3  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8]";1
"[16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18 16 18
 16 18 16 18 16 18  1]";0
[1];0
"[34 36 22 24 34 36 34 36 51 49 30 57 55 51 49 51 49 51 49 51 57 49 55 51
 49 51 57 55 49 51 49 51 49 51 49 57 55 51 49 51 57 49 55 51 49 51 49 51
 49 51 49 51 57 49 55 57 51 55 49 51 57 49 55 51 49 51 49 57 51 55 49 57
 51 55 57 55 57 55 49 51 57 55 57 55 57 55 57 55 57 55 57 55 49 51 49 57
 51 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55
 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55
 57 55 57 55 57 55 57 55 57]";0
"[11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8]";1
"[28 30 28 34 22 24 22 24 22 24 22 24 22 24 22 24 36 34 22 24 36 34 36 34
 36 34 36 34 22 24 36 34 36 22 34 24 22 24 22 24 22 24 22 24 22 24 36 22
 34 24 36 22 34 24 22 24 36 22 34 24 36 22 34 24 30 36]";0
[11  8 11  8 45 39 37 43 39 37];0
"[28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30
 28 30 28 30 28 30 28 22 34 24 36 34 22 24 36 22 34 24 36 22 34 24 36 22
 34 24 36 34 36 34 36 34 36 30 28 34]";0
[16 18];0
"[27 25 21 27 33 19 25 31  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11
  8 11  8 11  8 11  8 11  3  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11]";1
[27 25 27 25 27 25 27 25];1
"[51 49 51 49 51 49 51 49 51 49 51 49 51 49 51 49 51 49 51 49 51 49 51 49
 51 49 51 49 51 49 51 49 51 49 51 49 51 49 51 57 55 49 51 49 51 49 51 49
 57 51 55 49 57 55 51 49 51 49 57 51 55 49 51 57 55 49 51 49 51 49 51 57
 55 49 51 49 51 49 51 49 57 51 55 49 51 57 55 49 51 49 51 49 51 49 51 49
 57 55 51 49 51 49 57 55 51 49 51 57 55 49 51 57 55 57 55 57 55 57 55 57
 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57
 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57
 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57 55 57]";0
[3 1 3 1 3 1 3 1 3];0
[28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30];0
"[24 22 24 22 24 36 34 22 24 36 34 36 34 36 34 36 34 22 24 36 34 36 22 34
 24 22 24 22 24 22 24 22 24 22 24 36 22 34 24 36 22 34 24 22 24 36 22 34
 24 36 22 34 24 30 36]";0
"[40 42 40 42 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30
 28 30 16]";0
[ 4  6  4  6  4  6  4 15 13 15 13 15 13  6  4  6  4  6 27 25 27 25];0
[];0
[];0
[18 16 18 16 18 16 18 16 18 16 18  1 51];0
"[54 60 58 60 58 60 58 60 58 60 58 60 58 60 58 60 58 60 58 60 52 58 54 60
 58 52 60 58 54 60 58 60 58 60 58 27 60 25 58 27 60 58 52 60 54 58 52 25
 54 52 54 52 54 60 58 52 54 52 54 52 54 52 54 27 52 25 60 27 58 25 54 52
 54 27 52 25 54 52 54 52 54 52 54 52 60 54 58 52 54 52 54 52 54 27 25 52
 54 52 54 52 27 54 25 52 60 58 54 52 54 52 54 52 54 52 54 52 54 52 54 52
 54 52 54 52 54 52 11 54 52  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8
 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11  8 11 15
  8 13 11  8 15 11 13  8 11  8 11  8 15 11 13  8 15 11  8 13 11  8 15 11
  8 11  8 11  8 13 11  8 15 11  8 13 11  8 11  8 11  8 11  8 15 11  8 11
  8 11  8 11  8 11  8]";1
"[28 30 28 30 28 30 16 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28
 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28 30 28
 30 28 30 28 30 28 30 28 30]";0
[11  8 40 42 40 42];0
